symbol,class,date,open,high,low,close
BITX,crypto_2x,2026-07-10,12.28,12.50,12.11,12.19
BITX,crypto_2x,2026-07-13,11.62,11.80,11.35,11.54
BITX,crypto_2x,2026-07-14,12.15,12.56,12.02,12.40
BITX,crypto_2x,2026-07-15,12.66,12.79,12.44,12.56
BITX,crypto_2x,2026-07-16,12.23,12.51,12.16,12.28
BITX,crypto_2x,2026-07-17,11.70,12.32,11.58,12.23
BITX,crypto_2x,2026-07-20,12.34,12.84,12.16,12.57
BITX,crypto_2x,2026-07-21,13.09,13.31,12.95,13.09
BITX,crypto_2x,2026-07-22,12.72,13.05,12.72,12.87
BITX,crypto_2x,2026-07-23,12.47,12.57,12.33,12.42
BITX,crypto_2x,2026-07-24,12.21,12.24,11.97,12.18
BITX,crypto_2x,2026-07-27,12.42,12.73,12.23,12.44
BITX,crypto_2x,2026-07-28,11.78,12.11,11.56,12.03
BITX,crypto_2x,2026-07-29,12.13,12.35,11.89,11.91
BITX,crypto_2x,2026-07-30,12.38,12.53,12.30,12.39
BITX,crypto_2x,2026-07-31,11.99,11.99,11.42,11.66
BITX,crypto_2x,2026-08-03,11.55,12.09,11.47,11.99
BITX,crypto_2x,2026-08-04,11.99,12.21,11.89,12.15
BITX,crypto_2x,2026-08-05,12.10,12.42,11.98,12.38
BITX,crypto_2x,2026-08-06,12.12,12.43,12.09,12.21
BITX,crypto_2x,2026-08-07,12.50,12.57,12.22,12.41
BITX,crypto_2x,2026-08-10,12.38,12.38,11.92,12.02
CLSK,single_1x,2026-07-10,13.04,13.27,12.40,12.85
CLSK,single_1x,2026-07-13,12.45,12.76,12.02,12.36
CLSK,single_1x,2026-07-14,14.69,15.10,12.80,13.45
CLSK,single_1x,2026-07-15,13.82,14.86,13.12,14.13
CLSK,single_1x,2026-07-16,13.83,14.20,12.76,12.90
CLSK,single_1x,2026-07-17,12.35,13.20,12.15,13.03
CLSK,single_1x,2026-07-20,13.50,15.12,13.43,14.42
CLSK,single_1x,2026-07-21,14.80,15.70,14.67,15.38
CLSK,single_1x,2026-07-22,15.03,15.68,14.88,15.32
CLSK,single_1x,2026-07-23,15.14,16.10,15.09,15.61
CLSK,single_1x,2026-07-24,15.42,15.46,14.50,14.52
CLSK,single_1x,2026-07-27,14.82,14.85,13.69,14.03
CLSK,single_1x,2026-07-28,13.50,13.73,12.65,13.48
CLSK,single_1x,2026-07-29,13.26,13.36,11.83,12.01
CLSK,single_1x,2026-07-30,12.96,14.84,12.89,14.54
CLSK,single_1x,2026-07-31,15.04,15.11,13.55,13.76
CLSK,single_1x,2026-08-03,13.51,14.73,13.22,14.65
CLSK,single_1x,2026-08-04,14.35,14.81,13.92,14.17
CLSK,single_1x,2026-08-05,14.21,14.40,13.47,13.50
CLSK,single_1x,2026-08-06,13.09,13.49,12.51,12.75
CLSK,single_1x,2026-08-07,13.97,14.01,12.08,12.30
CLSK,single_1x,2026-08-10,12.29,12.33,11.59,11.59
CONL,single_2x,2026-07-10,5.43,5.50,4.93,4.95
CONL,single_2x,2026-07-13,4.77,5.08,4.64,4.85
CONL,single_2x,2026-07-14,5.00,5.15,4.84,5.11
CONL,single_2x,2026-07-15,5.33,5.54,5.03,5.46
CONL,single_2x,2026-07-16,5.32,5.41,4.96,5.01
CONL,single_2x,2026-07-17,4.55,5.03,4.53,4.80
CONL,single_2x,2026-07-20,4.86,5.25,4.68,5.01
CONL,single_2x,2026-07-21,5.47,6.30,5.46,5.96
CONL,single_2x,2026-07-22,5.71,5.89,5.29,5.30
CONL,single_2x,2026-07-23,5.11,5.26,4.85,4.98
CONL,single_2x,2026-07-24,4.94,4.96,4.52,4.80
CONL,single_2x,2026-07-27,5.09,5.37,4.92,5.34
CONL,single_2x,2026-07-28,5.01,5.38,4.79,5.36
CONL,single_2x,2026-07-29,5.27,5.47,4.80,4.87
CONL,single_2x,2026-07-30,4.93,5.15,4.83,5.07
CONL,single_2x,2026-07-31,4.44,4.45,3.56,4.00
CONL,single_2x,2026-08-03,3.88,4.33,3.71,4.00
CONL,single_2x,2026-08-04,4.05,4.35,3.96,4.23
CONL,single_2x,2026-08-05,4.24,4.42,4.06,4.16
CONL,single_2x,2026-08-06,4.00,4.22,3.92,3.93
CONL,single_2x,2026-08-07,4.08,4.46,3.94,4.38
CONL,single_2x,2026-08-10,4.34,4.37,4.05,4.09
DUST,sector_2x_inverse,2026-07-10,63.56,64.26,61.86,62.70
DUST,sector_2x_inverse,2026-07-13,64.90,67.13,64.21,66.29
DUST,sector_2x_inverse,2026-07-14,61.03,64.22,60.02,63.62
DUST,sector_2x_inverse,2026-07-15,64.21,67.38,62.88,65.00
DUST,sector_2x_inverse,2026-07-16,67.05,70.26,67.05,69.58
DUST,sector_2x_inverse,2026-07-17,71.78,72.91,68.71,69.85
DUST,sector_2x_inverse,2026-07-20,70.55,71.46,69.39,71.14
DUST,sector_2x_inverse,2026-07-21,67.67,68.06,64.05,64.13
DUST,sector_2x_inverse,2026-07-22,61.02,61.04,57.60,59.87
DUST,sector_2x_inverse,2026-07-23,63.47,64.25,61.94,62.59
DUST,sector_2x_inverse,2026-07-24,61.86,63.05,60.07,62.13
DUST,sector_2x_inverse,2026-07-27,60.43,63.75,59.99,61.41
DUST,sector_2x_inverse,2026-07-28,63.50,65.24,62.40,63.68
DUST,sector_2x_inverse,2026-07-29,64.27,67.32,60.75,65.01
DUST,sector_2x_inverse,2026-07-30,62.14,63.53,59.27,59.48
DUST,sector_2x_inverse,2026-07-31,62.34,65.30,61.73,63.42
DUST,sector_2x_inverse,2026-08-03,63.28,64.35,60.13,60.25
DUST,sector_2x_inverse,2026-08-04,57.66,58.60,55.77,57.41
DUST,sector_2x_inverse,2026-08-05,51.12,51.54,47.91,48.93
DUST,sector_2x_inverse,2026-08-06,50.17,50.50,47.89,48.55
DUST,sector_2x_inverse,2026-08-07,42.37,43.29,40.94,41.75
DUST,sector_2x_inverse,2026-08-10,42.60,43.95,40.95,41.13
ERX,sector_2x,2026-07-10,81.55,81.99,79.44,81.44
ERX,sector_2x,2026-07-13,83.70,87.05,83.70,86.65
ERX,sector_2x,2026-07-14,87.21,87.85,85.06,87.09
ERX,sector_2x,2026-07-15,87.11,87.11,83.48,85.74
ERX,sector_2x,2026-07-16,86.23,88.02,85.98,87.25
ERX,sector_2x,2026-07-17,89.91,90.51,88.07,89.35
ERX,sector_2x,2026-07-20,88.75,91.35,88.42,90.24
ERX,sector_2x,2026-07-21,90.82,91.86,89.70,91.86
ERX,sector_2x,2026-07-22,93.89,94.92,93.02,93.89
ERX,sector_2x,2026-07-23,96.99,97.62,94.15,94.49
ERX,sector_2x,2026-07-24,94.48,97.85,94.48,95.26
ERX,sector_2x,2026-07-27,91.32,94.12,90.75,91.11
ERX,sector_2x,2026-07-28,91.45,92.44,87.78,88.69
ERX,sector_2x,2026-07-29,93.93,94.00,91.40,92.04
ERX,sector_2x,2026-07-30,90.43,93.35,89.71,92.87
ERX,sector_2x,2026-07-31,93.00,95.17,91.08,94.71
ERX,sector_2x,2026-08-03,91.79,94.02,90.35,92.25
ERX,sector_2x,2026-08-04,88.61,92.08,87.20,91.31
ERX,sector_2x,2026-08-05,92.32,92.64,87.44,87.91
ERX,sector_2x,2026-08-06,90.73,91.24,88.55,90.28
ERX,sector_2x,2026-08-07,88.42,89.84,86.98,88.24
ERX,sector_2x,2026-08-10,90.32,96.53,90.32,96.51
FNGU,sector_3x,2026-07-10,28.70,29.03,27.80,28.64
FNGU,sector_3x,2026-07-13,28.06,28.55,27.68,27.90
FNGU,sector_3x,2026-07-14,27.70,29.17,27.37,28.90
FNGU,sector_3x,2026-07-15,29.24,29.88,29.12,29.79
FNGU,sector_3x,2026-07-16,29.21,29.48,27.82,28.47
FNGU,sector_3x,2026-07-17,25.78,27.42,25.10,26.54
FNGU,sector_3x,2026-07-20,27.07,27.75,26.77,27.05
FNGU,sector_3x,2026-07-21,27.71,27.97,27.16,27.86
FNGU,sector_3x,2026-07-22,27.51,27.68,26.97,27.01
FNGU,sector_3x,2026-07-23,25.82,26.12,24.66,25.45
FNGU,sector_3x,2026-07-24,25.29,25.58,24.71,24.82
FNGU,sector_3x,2026-07-27,25.93,26.04,24.63,25.22
FNGU,sector_3x,2026-07-28,24.66,25.05,23.68,24.60
FNGU,sector_3x,2026-07-29,24.59,25.29,23.28,23.44
FNGU,sector_3x,2026-07-30,23.86,25.51,23.69,25.36
FNGU,sector_3x,2026-07-31,26.21,26.84,25.24,26.66
FNGU,sector_3x,2026-08-03,27.19,29.07,26.97,28.83
FNGU,sector_3x,2026-08-04,29.99,33.05,29.88,32.66
FNGU,sector_3x,2026-08-05,33.60,33.94,32.03,32.04
FNGU,sector_3x,2026-08-06,31.78,32.68,31.31,32.04
FNGU,sector_3x,2026-08-07,32.56,33.70,32.53,33.53
FNGU,sector_3x,2026-08-10,33.21,34.50,33.21,33.70
GUSH,sector_2x,2026-07-10,33.06,33.24,31.48,32.42
GUSH,sector_2x,2026-07-13,33.63,35.45,33.63,35.08
GUSH,sector_2x,2026-07-14,35.52,35.83,34.34,35.31
GUSH,sector_2x,2026-07-15,35.42,35.58,33.91,34.93
GUSH,sector_2x,2026-07-16,35.24,36.31,35.24,35.59
GUSH,sector_2x,2026-07-17,36.68,37.44,36.14,37.18
GUSH,sector_2x,2026-07-20,36.87,37.99,36.59,37.12
GUSH,sector_2x,2026-07-21,37.60,38.77,37.42,38.75
GUSH,sector_2x,2026-07-22,39.94,40.60,39.35,39.96
GUSH,sector_2x,2026-07-23,41.68,41.74,39.38,39.51
GUSH,sector_2x,2026-07-24,39.43,40.44,38.65,38.83
GUSH,sector_2x,2026-07-27,37.00,37.97,36.50,36.63
GUSH,sector_2x,2026-07-28,36.94,37.27,35.00,35.35
GUSH,sector_2x,2026-07-29,37.47,38.03,37.06,37.83
GUSH,sector_2x,2026-07-30,37.09,39.21,37.00,39.08
GUSH,sector_2x,2026-07-31,39.33,40.23,38.43,40.12
GUSH,sector_2x,2026-08-03,38.13,39.95,37.74,38.77
GUSH,sector_2x,2026-08-04,37.50,38.29,36.29,37.81
GUSH,sector_2x,2026-08-05,37.92,38.06,34.70,34.75
GUSH,sector_2x,2026-08-06,36.06,36.36,34.83,35.47
GUSH,sector_2x,2026-08-07,35.14,36.22,34.38,35.24
GUSH,sector_2x,2026-08-10,36.49,39.42,36.35,39.22
LABU,sector_3x,2026-07-10,320.37,323.19,276.76,293.84
LABU,sector_3x,2026-07-13,280.64,282.30,265.00,272.84
LABU,sector_3x,2026-07-14,275.00,277.46,264.00,274.05
LABU,sector_3x,2026-07-15,267.89,277.59,259.28,277.55
LABU,sector_3x,2026-07-16,271.45,273.48,249.00,254.80
LABU,sector_3x,2026-07-17,242.85,271.93,240.25,265.56
LABU,sector_3x,2026-07-20,268.00,277.07,248.57,249.10
LABU,sector_3x,2026-07-21,248.50,266.59,247.80,266.03
