symbol,sessions,median_mae_pct,median_mfe_pct,stop_pct,target_pct,breakeven_trigger_pct,trail_pct,mfe_per_stop,mfe_to_target,stall_threshold_pct,min_stop_move_pct,stop_at_cap,computed
AGQ,22,1.449,1.653,2.5,3.75,1.65,1.45,0.661,2.27,0.25,0.36,no,2026-08-12
AMDL,22,5.974,3.119,7.0,10.5,3.5,5.97,0.446,3.37,0.47,1.0,yes,2026-08-12
BITX,22,1.291,1.824,2.5,3.75,1.82,1.29,0.73,2.06,0.27,0.32,no,2026-08-12
CLSK,22,5.136,2.733,7.0,10.5,3.5,5.14,0.39,3.84,0.41,1.0,yes,2026-08-12
CONL,22,4.297,4.385,6.44,9.67,4.38,4.3,0.68,2.2,0.66,1.0,no,2026-08-12
DUST,22,3.086,2.048,4.63,6.94,2.31,3.09,0.442,3.39,0.31,0.77,no,2026-08-12
ERX,22,1.58,1.841,2.5,3.75,1.84,1.58,0.736,2.04,0.28,0.4,no,2026-08-12
FNGU,22,1.974,2.296,2.96,4.59,2.3,1.97,0.776,2.0,0.34,0.49,no,2026-08-12
GUSH,22,1.475,2.425,2.5,4.85,2.42,1.47,0.97,2.0,0.36,0.37,no,2026-08-12
KORU,22,5.068,5.249,7.0,10.5,5.25,5.07,0.75,2.0,0.79,1.0,yes,2026-08-12
LABU,22,3.199,2.96,4.8,7.2,2.96,3.2,0.617,2.43,0.44,0.8,no,2026-08-12
MARA,22,3.845,1.989,5.77,8.65,2.88,3.84,0.345,4.35,0.3,0.96,no,2026-08-12
MSTX,22,3.875,5.467,5.81,10.93,5.47,3.88,0.94,2.0,0.82,0.97,no,2026-08-12
MUU,22,5.882,4.209,7.0,10.5,4.21,5.88,0.601,2.49,0.63,1.0,yes,2026-08-12
NRGU,22,2.556,3.382,3.83,6.76,3.38,2.56,0.882,2.0,0.51,0.64,no,2026-08-12
NUGT,22,1.871,2.739,2.81,5.48,2.74,1.87,0.976,2.0,0.41,0.47,no,2026-08-12
NVDL,22,3.529,1.84,5.29,7.94,2.65,3.53,0.348,4.31,0.28,0.88,no,2026-08-12
NVDX,22,3.423,2.218,5.13,7.7,2.57,3.42,0.432,3.47,0.33,0.86,no,2026-08-12
RIOT,22,4.383,2.243,6.57,9.86,3.29,4.38,0.341,4.4,0.34,1.0,no,2026-08-12
SCO,22,1.316,1.289,2.5,3.75,1.29,1.32,0.516,2.91,0.19,0.33,no,2026-08-12
SILJ,22,1.658,1.418,2.5,3.75,1.42,1.66,0.567,2.64,0.21,0.41,no,2026-08-12
SMCX,22,4.641,4.898,6.96,10.44,4.9,4.64,0.704,2.13,0.73,1.0,no,2026-08-12
SOXL,22,6.977,3.61,7.0,10.5,3.61,6.98,0.516,2.91,0.54,1.0,yes,2026-08-12
SOXS,21,4.063,6.29,6.09,12.0,6.29,4.06,1.032,1.91,0.94,1.0,no,2026-08-12
TECL,22,3.148,2.089,4.72,7.08,2.36,3.15,0.442,3.39,0.31,0.79,no,2026-08-12
TSLL,22,2.301,2.547,3.45,5.18,2.55,2.3,0.738,2.03,0.38,0.58,no,2026-08-12
TSMX,22,2.674,1.82,4.01,6.02,2.01,2.67,0.454,3.31,0.27,0.67,no,2026-08-12
USD,22,4.209,1.722,6.31,9.47,3.16,4.21,0.273,5.5,0.26,1.0,no,2026-08-12
YANG,22,1.604,1.014,2.5,3.75,1.25,1.6,0.406,3.7,0.15,0.4,no,2026-08-12
YINN,22,0.969,1.546,2.5,3.75,1.55,0.97,0.618,2.43,0.23,0.24,no,2026-08-12
ZSL,22,1.63,1.475,2.5,3.75,1.48,1.63,0.59,2.54,0.22,0.41,no,2026-08-12
